network,rho,policy,pathwise_mean,pathwise_std,reinforce_mean,reinforce_std,n_pw,n_rf
criss_cross_bh,0.8,sPR,0.2999999950329463,0.9539391823597405,0.026666665077209474,0.9996443677392927,300,300
criss_cross_bh,0.8,sMW,-0.0483412171403567,0.7607297446903201,0.13710347780336937,0.7323286352516453,300,300
criss_cross_bh,0.8,sMP,-0.0483412171403567,0.7607297446903201,0.13710347780336937,0.7323286352516453,300,300
criss_cross_bh,0.9,sPR,0.4799999976158142,0.8772684920007054,0.060000001589457196,0.9981983793703728,300,300
criss_cross_bh,0.9,sMW,0.08099067692334454,0.7668067650147117,0.08980258477230867,0.7171387274388474,300,300
criss_cross_bh,0.9,sMP,0.08099067692334454,0.7668067650147117,0.08980258477230867,0.7171387274388474,300,300
criss_cross_bh,0.95,sPR,0.5999999874830246,0.7999999977151567,0.04666666567325592,0.9989105091189491,300,300
criss_cross_bh,0.95,sMW,0.23668203270062804,0.7230346315948275,0.11534462270188939,0.7391462730121527,270,270
criss_cross_bh,0.95,sMP,0.23668203270062804,0.7230346315948275,0.11534462270188939,0.7391462730121527,270,270
criss_cross_bh,0.99,sPR,0.4799999882777532,0.8772684819360161,0.09333333233992258,0.9956349061902976,300,300
criss_cross_bh,0.99,sMW,0.27269545829958386,0.6687740345051636,0.029070399627089502,0.6875077423861023,225,225
criss_cross_bh,0.99,sMP,0.27269545829958386,0.6687740345051636,0.029070399627089502,0.6875077423861023,225,225
reentrant_2,0.95,sPR,0.19565171498572453,0.5853277095712189,0.3820980461065968,0.5694430509474122,300,300
reentrant_2,0.95,sMW,0.24729661410956671,0.4903818091160309,0.20686472797709884,0.4666627163978304,165,165
reentrant_2,0.95,sMP,0.24729661410956671,0.4903818091160309,0.20686472797709884,0.4666627163978304,165,165
reentrant_3,0.95,sPR,0.44963054444175216,0.42044195207887314,0.30759517042431983,0.4285362234685451,300,300
reentrant_3,0.95,sMW,0.13327403794456688,0.3466991028514036,0.10705377789973108,0.33892069768241356,270,270
reentrant_3,0.95,sMP,0.13327403794456688,0.3466991028514036,0.10705377789973108,0.33892069768241356,270,270
reentrant_4,0.95,sPR,0.42756894963483016,0.3641733842215539,0.2364360925834626,0.36082340864429147,300,300
reentrant_4,0.95,sMW,0.11513892923792203,0.29818985944214804,0.12887617947999389,0.26915325469543777,300,300
reentrant_4,0.95,sMP,0.11513892923792203,0.29818985944214804,0.12887617947999389,0.26915325469543777,300,300
