env,cmu_mean,cmu_std,ste_mean,ste_std,improvement_pct,eval_batch,eval_T
criss_cross_bh,17.764970779418945,2.381948232650757,15.428431510925293,1.7411240339279175,13.152508368888382,100,50000
reentrant_2,17.790454864501953,3.2227048873901367,16.581687927246094,2.2043509483337402,6.794468980485504,100,50000
reentrant_3,23.809188842773438,4.165407657623291,22.239913940429688,3.506802797317505,6.591047316675201,100,50000
reentrant_4,32.599456787109375,6.4973368644714355,33.2474250793457,5.755560398101807,-1.9876659186927024,100,50000
reentrant_5,38.70539855957031,7.353724002838135,37.35272979736328,5.830020427703857,3.494780605669722,100,50000
reentrant_6,48.51308059692383,11.240030288696289,47.73064422607422,9.797801971435547,1.6128358810081893,100,50000
reentrant_7,52.2801399230957,10.747537612915039,52.64639663696289,8.756336212158203,-0.7005656725593172,100,50000
reentrant_8,62.49079132080078,14.25095272064209,58.8282585144043,8.715149879455566,5.8609160309630575,100,50000
reentrant_9,65.28365325927734,13.082796096801758,65.94843292236328,12.38161849975586,-1.0182942128647907,100,50000
reentrant_10,70.09058380126953,13.300458908081055,69.73889923095703,11.893871307373047,0.5017572279175824,100,50000
