rho,gap_1_minus_rho,pw_variance,rf_variance,rf_over_pw_ratio
0.8,0.19999999999999996,14.450861887468644,7785.235896387321,538.7385165682364
0.85,0.15000000000000002,94.70552121882359,61506.22170535597,649.4470534958742
0.9,0.09999999999999998,1301.5960093014833,125948.27258996406,96.7644888966398
0.92,0.07999999999999996,4644.333746010425,154201.2541790627,33.20201833288244
0.94,0.06000000000000005,24393.0487841496,179340.61162360766,7.352119581712217
0.95,0.050000000000000044,69562.02861340098,185482.20940663124,2.666428985811643
0.96,0.040000000000000036,207033.56933744048,187868.08554244484,0.9074281342087179
0.97,0.030000000000000027,508061.71606264164,188890.04946407245,0.3717856384218944
0.98,0.020000000000000018,1038379.154002151,189707.57638631464,0.18269586369789706
0.99,0.010000000000000009,1679742.1551968413,191522.70737162326,0.11401911107552075
